ID,Dish_id,Language,Name,Ingredients of a standard portion for an adult,Recipe,Tip
126,126,en,Baked chicken thighs with potatoes,"Chicken thighs,250,g;
Raw potato,90,g;
Dry garlic,2,g;
Lemon juice,1,ml;
Chopped parsley,0.5,g;
Saffron,0.1,g;
Salt,1,g;
Black pepper powder,0.2,g;
Olive oil,5,g;","Mix and crush the garlic, parsley, black pepper, saffron and salt in a mortar. Clean the chicken pieces well, removing excess fat. Clean and peel the potatoes and cut them into slices. Cover the bottom of a baking tray with the potatoes and chicken thighs. Brush the chicken with olive oil and with the dressing prepared previously. Squeeze lemon juice on top. Place in the preheated oven at 190ºC and bake for 45 min. Flip chicken after 30 min. so that it browns on both sides. Serve.",
127,127,en,Grilled turkey and zucchini skewers,"Boneless turkey thigh,150,g;
Zucchini;50,g;
Dry garlic,2,g;
Lemon juice,3,ml;
Sweet paprika,1,g;
Fine herbs,0.5,g;
Salt,2,g;
Olive oil,5,g;
Wooden skewers;","The night before: mix all the spices. Cut the meat into medium pieces and put in a bowl. Add the spice mix, minced garlic, salt, lemon juice and a little olive oil. Mix well and leave to rest in the refrigerator. The same day: cut the zucchini into cubes. Thread the pieces of meat and zucchini onto the skewers. Heat the grill. Cook the skewers over high heat until golden brown. Serve.",
128,128,en,Turkey burgers with Provencal herbs and sautéed tomatoes,"Boneless turkey thigh,150,g;
Provencal herbs,1,g;
Garlic powder,0.4,g;
Grated lemon peel,3,g;
Salt,2,g;
Ground black pepper,0.2,g;
Cherry tomatoes,60,g;
Canned chives,30,g;
Olive oil,5,g;","Clean the bone, skin and excess fat from the turkey meat. Chop the meat and grind. Add the spices, the grated lemon peel, and salt and pepper. Mix well until obtaining a homogeneous and compact mass. Shape into a hamburger and reserve.
Wash the tomatoes and cut in half. Drain the chives. Heat the griddle with little oil and cook the burgers on both sides. At the same time, cook the chives and remove when they are lightly toasted. Finally, sauté the tomatoes. Add salt to taste. Serve.",
129,129,en,Turkey meatballs in sauce,"Turkey breast, 250,g;
Laminated mushrooms,60,g;
Leek,15,g;
Chicken broth,100,ml;
Dry garlic,2,g;
Breadcrumbs,25,g;
Salt,2,g;
Olive oil,5,g;","Clean the breast, removing excess fat and grind. Peel and chop the garlic very fine. Pour half of the broth into a bowl and add the meat and the minced garlic. Add the breadcrumbs and salt. Mix until getting a compact dough (can add more breadcrumbs if necessary). Make balls of similar size with the dough. Sauté the meatballs with olive oil over low heat. In another pan, sauté the leek and mushrooms with oil and add the rest of the broth. Let stand 5 min. and mix the sauce with the meatballs. Serve.",
130,130,en,Rabbit in apple sauce,"Rabbit loin,200,g;
Apple,70,g;
White onion,15,g;
Natural crushed tomato,25,g;
Dry garlic,1,g;
Salt,2,g;
Ground black pepper,0.3,g;
Olive oil,10,g;","Clean and chop the apples finely. Season the rabbit and add the minced garlic. Brown in a saucepan with little olive oil until the meat is to taste. Separate the meat pieces and place on a plate. On the other hand, add the apples, onions and tomato sauce in a saucepan. Cover and let simmer. Shred everything except the meat. Mix the sauce with the rabbit. Serve. ",
131,131,en,Stewed chicken with quinoa and peppers,"Raw quinoa,32,g;
Chicken thighs,200,g;
Red pepper,25,g;
Green pepper,30,g;
Dry garlic,5,g;
Dried chilli,0.1,g;
Ground black pepper,0.2,g;
Water,750,ml;
Salt,2,g;
Olive oil,10,g;","Clean the thighs, removing excess fat. In a frying pan, brown with a little oil. Wash and cut the peppers into pieces and chop the garlic cloves. Once the chicken is browned, add the vegetables, garlic and dry chilli to the same pan and cook for a couple of minutes. Season with pepper to taste. Add the water and cook over medium heat. Next, boil the quinoa for 15 min. (use two or three parts of water for each part of quinoa). Drain the quinoa once boiled and let it rest for a few minutes. Add the cooked quinoa in the same pan. Saute a couple more minutes. Serve.",
132,132,en,Baked chicken with figs and rosemary,"Chicken portion,200,g;
Dried figs,40,g;
Dry garlic,3,g;
Lemon or orange peel,1,pcs;
Ground black pepper,0.3,g;
Dried chilli,0.1,g;
Fresh rosemary,0.2,g;
Salt,2,g;
Olive oil,8,g;","Cut the piece of chicken into portions. Place the portions in a bowl, season with salt and pepper and add the rosemary leaves without the stem, the grated garlic and the grated lemon or orange peel. Mix everything manually so that it is impregnated with the meat. Cover the bowl with plastic wrap and let it rest in the fridge for about 2 hours. After resting, preheat the oven to 200ºC. Place the chicken portions on the baking tray leaving space between pieces. Cut the figs in half and place in the holes in the tray. Drizzle with a little olive oil. Put the tray in the oven and bake between 30 and 40 min. At 15 min. turn the pieces. When the skin of the chicken is golden, turn off the oven. Serve.",
133,133,en,Baked chicken nuggets with quinoa batter ,"Chicken breast,250,g;
Raw quinoa,30,g;
Grated Parmesan cheese,12,g;
Raw egg,28,g;
Dried oregano,0.2,g;
Ground cumin,0.2,g;
Sweet paprika,0.1,g;
Ground black pepper,0.1,g;
Salt,2,g;
Olive oil,5,g;","Cut the chicken breast into strips or cubes, season with salt and pepper and reserve. Cook the quinoa for about 14 min. Preheat the oven to 180ºC and prepare a baking tray with baking paper. Drain the quinoa and spread out on the baking tray with hands. Put the tray in the oven and bake until crisp (between 17 and 20 min.). Put the quinoa in a bowl and add Parmesan cheese, oregano, salt and the spices, and mix well. Whisk the egg. Coat the chicken strips in the egg and then in the mixture of quinoa and spices. Split the nuggets on the baking tray with clean paper. Bake at 180ºC with a little olive oil for 12-15 min. Serve.",
134,134,en,Crispy chicken with oat flakes,"Chicken breast,200,g;
raw egg,20,g;
Oat flakes,35,g;
sesame seeds,15,g;
mustard,5,g
fresh parsley,1,g
ground black pepper,0,2,g;
Olive oil,5,g;","Fillet the chicken breast into strips and season. Beat the eggs in a bowl, add the chopped parsley and mustard, and mix. In a deep plate, mix the rolled oats and sesame seeds. Coat the chicken fillets with the egg and then with the oat mixture. Distribute the chicken on a tray with baking paper. Drizzle with little olive oil. Preheat the oven to 200ºC. Bake for 15 min. at 200ºC, and turn around and leave another 15 min. further. Serve.",
135,135,en,Baked turkey rolls stuffed with mushrooms,"Turkey breast,180,g;
cooked ham,15,g;
Mozzarella cheese,15,g;
leek,10,g
spring onion,10,g;
Dried garlic,2,g;
mushrooms,25,g
green pitted olives,15,g;
ground black pepper,0,2,g; 
Olive oil,8,g;","Prepare the filling: Finely chop the leek, garlic and onion, and fry in olive oil over low heat. Clean and chop the mushrooms and olives, and add to the previous sauce. Sauté for 5 min. further. Season the sauce and blend until it forms a dense mass. Salt and pepper and let cool.
Prepare the turkey rolls: Fillet the breast and stretch the fillets well. Overlap fillets to form one large layer. Cover the turkey layer with the cooked ham and add the mushroom mass and mozzarella on top. Close the roll carefully with the help of wooden toothpicks. Seal and brown the roll in a pan with a little olive oil. Put the roll in the oven at 180ºC for 15 min. Serve.",
136,136,en,Chicken breast booklets stuffed with spinach and cheese,"Chicken breast,250,g;
Fresh mozzarella,63,g;
Raw pine nuts,8,g;
Raw spinach,55,g;
Ground black pepper,0.2,g;
Salt,2,g;
Olive oil,4,g;","Prepare the filling: Wash the spinach and chop it. Add the spinach and pine nuts in a pan with a little olive oil. Sauté 2 min. and season.
Prepare the chicken booklets: Fillet the chicken breast. Open each fillet in half in the shape of a book, leaving one side uncut. Fill with spinach and cover with a slice of mozzarella. Close the booklet joining the two layers of chicken fillet with a wooden toothpick. Place on a plate, cover with plastic wrap, and refrigerate for 30 to 40 minutes. Next, place the booklet on a baking tray and bake at 200ºC for 20 min. Once brown, remove from the oven. Serve.",
137,137,en,Stewed rabbit thigh with sautéed wheat,"Rabbit thigh,130,g;
Raw wheat grains,25,g;
Raw carrot,40,g;
Onion,55,g;
Green pepper,15,g;
Dry garlic,3,g;
Tomato sauce,30,g;
Flour,4,g;
Meat broth,50,ml;
Ground black pepper,0.2,g;
Fresh rosemary,0.2,g;
Dried thyme,0.2,g;
Sweet paprika,0.1,g;
Olive oil,10,g;","Soak the wheat grains the night before. The same day, cook the wheat with water for 30 min. Drain and season. Peel and chop the garlic, onion and carrots, and sauté in a saucepan with a little olive oil. Season and reserve. Season the rabbit thighs with salt and pepper and brown them in a pan with olive oil. Incorporate the rabbit brown in the casserole with the vegetables and add the flour, the ground black pepper and the rest of the spices and sauté. Add the paprika, broth and tomato sauce. Cook over low heat for 25-30 min. Remove the rabbit thighs on a plate, and blend the sauce. Add the thighs back into the sauce and cook for 2-3 min. Reserve. On the other hand, chop the green pepper and sauté it in a pan with olive oil. Season. Add the cooked wheat and sauté the whole. Serve the rabbit thigh with the sauce and accompanied by the wheat.",
138,138,en,Roast rabbit with soy sause and honey,"Rabbit,200,g;
onion,60,g;
green pepper,60,g;
tomato,60,g
soy sauce,15,ml;
honey,5,g
olive oil,10,g
white wine,5,ml;
parsley,5,g","Cut the rabbit into small pieces, season with salt and pepper, place in a bowl and add the soy and honey. Mix well and place on a baking tray. Bake at 190°C for 20-25 minutes. After 15 minutes, baste with the rest of the soy and honey mixture left in the bowl. Peel and slice the garlic and fry in a large frying pan with a drizzle of oil. Peel and julienne the onions and add. Chop the peppers into fine strips and add. Cook well. Season to taste. When it is well caramelised, add the meat broth and cook until it evaporates. Peel the tomatoes and cut them into crescents. Place them in a large dish. Place the pieces of rabbit and the frittata on top. Season with the juice from the rabbit and serve. Garnish with a leaf of parsley.",
139,139,en,Turkey breast marinated with orange,"Turkey breast,250,g;
Raw onion,40,g;
Mushrooms,40,g;
Red pepper,20,g;
Orange juice,20,ml;
Lemon juice,15,ml;
Olive oil,10,ml;
Salt,2,g;","Prepare the marinade ingredients: turkey breast, orange and lemon juice (and a little grated), some spices to taste (pepper, ginger). Put the turkey breast in a freezer bag with all the marinade ingredients, tie in a knot, massage and place in a bowl. Leave in the fridge overnight. The next day, put a spoonful of olive oil in a saucepan. When it is very hot, add the breast, drained of the marinade. Seal over a high heat. Remove and set aside. In the same pan, add another spoonful of olive oil and the chopped vegetables. Sauté everything. When they are soft, add the reserved breast. Add the white wine and allow to reduce a little. Pour all the marinade into the pan. It should cover at least half of the loin. Cover the pan. When the second orange ring rises, lower the heat and leave for 10 minutes. Ready to serve.",
140,140,en,Pickled sardines,"Sardines,120,g;
Onion,30,g;
Carrot,40,g;
Garlic,30,g
olive oil,20,ml;
flour,15,g
white wine,15,ml;
water,20,ml;
Spices,15,g;","Clean the sardines. Flour them and fry them in a pan with plenty of oil. When they are browned on each side, transfer them to a dish, put them on kitchen paper and set them aside. Now fry the julienned onion, sliced carrot and coarsely chopped garlic in the olive oil. Add the bay leaf and peppercorns and cook slowly. When the vegetables are cooked, add the paprika and immediately pour in the vinegar and white wine. Add the salt and herbs. Wait for the alcohol to evaporate. You will be able to tell by the aroma coming from the pan. It is important to taste the marinade to give it just the right amount of strength that you like, this is personal. To do this, add water until it's balanced, it's easy to add another whole glass of water if you don't like it too strong. Leave to reduce over a low heat for about 15 minutes. At the end of this time, add the fried sardines and cook them in the marinade for a few minutes, shaking the pan to prevent them from falling apart. Remove from the heat and leave to cool before serving. It is best to leave them in the marinade overnight in the fridge and take them out a while before serving so that they are at room temperature.",
141,141,en,Baked salmon with vegetables,"Salmon loin,120,g; 
Raw potato,180,g;
Raw onion,40,g;
Raw carrot,35,g;
Raw red pepper,40,g;
Raw green pepper,30,g
Minced garlic,1,g;
Olive oil,7,g;
Pepper,0.5,g;
Salt,2,g;
Water,100,ml.","Peel and cut the potato, carrot and onion into thin slices. Cut the peppers into cubes. Chop the garlic. Place the vegetables and garlic on a baking tray. Place ½ glass of water. Spice with salt and pepper. Add the oil. Mix and place for 30 minutes (approximately) in a preheated oven at 200 ºC. Later, place the salmon loin on the vegetables, skin side up, previously seasoned with salt and pepper. Bake for an additional 20 minutes. Serve.",
142,142,en,Hake with green sauce,"Sliced Hake,160,g;
Raw onion,70,g;
Minced garlic,0.4,g;
Fish broth,80,ml
Whole wheat flour,5,g;
Fresh parsley,4.g;
Salt,2,g;
Extra virgin olive oil,10,g","Peel and mince the garlic and sauté in a casserole. Add the grated onion and fry in a little oil over low heat until well cooked. Add the flour and stir well, leave for 2 minutes. Pour in the broth and stir to prevent lumps from forming with the flour. Let cook for 10 minutes. Chop the fresh parsley and season the hake. Add everything in the casserole. Cover the pot and cook over medium heat for five minutes. Serve.",
143,143,en,Stuffed Baked Hake,"Hake loin,120,g;
Prawn,25,g;
Mussel,25,g;
Leek,35,g;
Raw onion,50,g;
Fish broth,70, cc;
Whole wheat flour,7.g;
Breadcrumbs,7,g;
Fresh parsley,4,g;
Ground black pepper,0.2,g;
Salt,2,g;
Extra virgin olive oil,10,g.","Place the mussels in a casserole over high heat, without water, and place the lid. Cook for approximately two minutes, or until the mussels open. Remove them from the heat and leave them aside until later use. In another casserole, fry the leek, onion and garlic. Spice with salt and pepper. Cook for 10 minutes stirring. Chop the previously peeled prawns, the mussels and the parsley and add them to the casserole. Integrate the ingredients and cook for 5 minutes. Add the flour. Mix everything and let cook and toast for 2 minutes. Slowly add the fish broth, avoiding the formation of lumps. Cook for 5 minutes. Let the water evaporate and thicken. Remove from the fire. Season the hake fillets with salt and pepper and place them on a baking tray, skin side down. Place the filling on top. Sprinkle with breadcrumbs. Cover the preparation with another loin, with the skin facing up. Place the stuffed hake in the oven previously reheated to 200ºC. Cook for 20 minutes. Serve.",
144,144,en,Mussels with marinara sauce,"Raw mussels,550,g;
Minced garlic,0.3,g;
Whole wheat flour,10,g;
Fish broth,30 ml;
Chopped parsley,3,g;
Cayenne pepper,0.2,g;
Salt,2,g;
Extra virgin olive oil,10,g.","Open, clean and place the mussels in a pot over high heat. Cover the casserole and let it cook with steam for 2 minutes, stirring. Remove from the heat, drain the water and reserve. In a pot, place the oil and fry the minced garlic for 5 minutes. Add the flour and stir to prevent sticking for 2 minutes. Add fish broth, chopped parsley and ground cayenne pepper. Stir all the ingredients until integral. Introduce mussels to the preparation and cook for 5 minutes.Season with salt and serve.",
145,145,en,Sardines Baked,"Fresh sardine,120,g;
Raw onion,70,g;
Raw carrot,70,g;
Fresh garlic,4,g;
Aromatic herbs,2,g;
Ground black pepper,0.3,g;
Salt,2,g;
Extra virgin olive oil,10.g.","Clean, peel and cut the onion into strips and the carrot into slices. Peel the garlic cloves and cut in half. Preheat the oven to 200º C. Clean the sardines from the guts, scales and head and place on a baking tray lined with baking paper, salt and bake for 15 minutes. Sauté the vegetables in a casserole with a few drops of extra virgin olive oil until soft. Add the salt and aromatic herbs and cook for 10 minutes. Add the vegetables on top of the sardines and cook for 5-10 minutes watching. Ready to serve.",
146,146,en,Calamari stewed with onion,"Raw squid,120,g;
Raw onion,90,g;
Cayenne pepper,0.5,g;
Fish broth,70 ml;
Laurel leaf,2,g;
Salt,2,g;
Extra virgin olive oil,10,g.","Cut the onion into julienne strips. Place it in a casserole previously preheated with olive oil. Chop the cayenne pepper and integrate with the onion. Cook until the onion is transparent. Lower the fire. Add the fish broth. Let it evaporate over medium heat for 5 minutes. Meanwhile, cut the squid into rings. Add the squid to the preparation of the pot. Cook for 20 minutes on medium-high heat, with a lid on. Stir every two minutes, preventing it from sticking. Season with salt and remove from heat. Serve.",
147,147,en,Grilled tuna with garlic and parsley,"Tuna loin,120,g;
Fresh garlic,2,g;
Squeezed lemon,85,ml;
Fresh parsley,1.5,g;
Ground black pepper,0.5,g;
Salt,2,g;
Extra virgin olive oil,10,g.",Chop the garlic and parsley and place them in a container with oil and the lemon juice. Mix everything and let it rest for 10 minutes. Season the tuna loins on both sides with salt and ground pepper. Preheat a frying pan with oil and place the tuna. Cook for 3 minutes on both sides. Remove from the fire. Place the tuna loin on a plate and cover with the garlic and parsley dressing on top. Serve.,
148,148,en,Anchovies in vinegar,"Fresh anchovies,120,g;
Apple cider vinegar,36,ml;
Drinking water,12,ml;
Fresh garlic,0.7,g;
Fresh parsley,0.7,g;
Salt,2,g;
Extra virgin olive oil,10,g.","Clean the anchovies with cold water, removing the head, guts and bones. Leave the anchovies open in half and remove the tail. Wash them very well, without traces of blood. Dry them with absorbent paper. Prepare the mixture of vinegar with water in a cup. Place the anchovies in a bowl, skin side down. Cover between layer and layer of anchovy with salt and add the vinegar and water mixture. Everything must be covered. Let stand in the fridge for 3-4 hours. After the time has elapsed, drain the anchovies and transfer them to another clean source. Finely chop the garlic and parsley. Spray the anchovies with oil and add the chopped garlic and parsley. Rest for 24 hours. Serve.",
149,149,en,Cod with tomato sauce,"Fresh cod,120,g;
Raw onion,55,g;
Ripe plum tomato,80,g;
Fresh garlic,0.7,g;
Sugar,0.3,g;
Salt,2,g;
Extra virgin olive oil,10,g.","Preheat a pot with oil over low heat. Introduce the cod fillets with the skin facing down, in contact with the base. Let cook 8 minutes on each side, stirring the pot from time to time. Reserve until later use. Peel and chop the garlic and onion. Add them to a preheated pot with oil. Season with salt and cook until golden. Wash, peel and finely chop the tomato. Add to casserole. Add the sugar. Cook everything covered for 25-30 minutes, stirring frequently. The sauce should be reduced. Add the cod loin, and cover it with the sauce. Heat everything at medium heat for 3 minutes. Serve.",
150,150,en,Baked dorada with potatoes and peppers,"Gilthead,120,g;
Potato,180,g;
Red pepper,40,g;
Red pepper,40,g;
White onion,40,g;
Fresh garlic,0.5,g;
Fresh parsley,0.5,g;
Fish broth,60,ml;
Squeezed lemon,30,ml;
Salt,2,g;
Extra virgin olive oil,10,g.","Preheat the oven to 200ºC. Peel and cut the potatoes, onion and peppers into thin slices. Peel and chop the garlic together with the parsley, the fish broth and the oil in a food processor. Oil a baking tray and place the potatoes, season with salt, and add the onion and peppers on top. Season again with salt. Add the garlic mixture, parsley, broth and oil. Place the tray in the oven and cook for approximately 30 minutes. Once the vegetables are cooked, place the sea bream on top and add a little more of the garlic and parsley mixture. Cook for 15 minutes or until the fish has white eyes. Plate and serve.",
151,151,en,Tuna burgers and baked vegetables,"Canned tuna,60,g;
White onion;25,g;
Tomato,40,g;
Leek,20,g;
Carrot,35,g;
Chicken egg,50,g;
Breadcrumbs,17,g;
Fresh oregano,3,g; 
Salt,2,g.","Wash, cut and chop the onion, tomato, leek and carrot. Whisk the egg. Add all the ingredients (vegetables, tuna, eggs and breadcrumbs) to a bowl and mix well. Season with oregano and a pinch of salt. With the preparation created, shape a hamburger and place them on a previously oiled oven tray or with parchment paper. Place the tray in the oven previously preheated to 180ºC. Bake for 10 minutes. Serve.",
152,152,en,Grilled snuff with green asparagus and tomato,"Monkfish,120,g;
Green asparagus,90,g;
Cherry tomato,30,g;
Fresh garlic,0.4,g;
Fresh parsley,0.6,g;
Ground black pepper,0.5,g;
Salt,2,g;
Extra virgin olive oil,10,g.","Clean and cut the asparagus and cherry tomatoes. Peel and chop the garlic and add it to a preheated pan with oil add. Let cook over low heat for 2 minutes. Add the asparagus, leave for two minutes and add the cherry tomatoes. Add half a glass of water and let reduce. In a preheated griddle add the monkfish. Leave 5 minutes per side. Add to the fish the mixture of vegetables, garlic and parsley. Serve.",
153,153,en,Monkfish fideuá,"Fresh filleted monkfish,120,g;
Noodles,40,g;
Tomato,90,g;
Fresh garlic,1.5,g;
Green pepper,30,g;
Fish broth,80,ml; Salt,2,g;
Saffron,0.5,g;
Extra virgin olive oil,10,g.","Cut the garlic cloves and the green pepper into very small pieces. In a pan with oil, fry the garlic cloves and the green pepper. Let it brown and add the monkfish pieces. Grate the tomato and add it to the paella together with the noodles. Let it brown slightly. Add the fish broth until it covers the noodles and add saffron. Let cook for about 10 minutes until the noodles are tender. Serve.",
154,154,en,Cod cake,"Shredded cod,60,g;
potato,180,g;
white onion,75,g
tomato concentrate,40,g
Egg,30,g;
fresh garlic,0,4,g;
Grated cheese,30,g;
Ground black pepper,0.3,g;
Extra virgin olive oil,10,g;","In a preheated pan with oil, cook the cod for 10 minutes. Add salt and pepper. Once cooked, crumble it and reserve. Peel and cut the potatoes into small cubes. Boil the potatoes in a saucepan with plenty of water until tender. Drain and mash the potatoes. Reserve. Peel and finely chop the garlic and onion. fry them in a frying pan over low heat. When the onion is cooked add the tomato concentrate and cook for a few minutes. Add the shredded cod. Stir to prevent the preparation from sticking. Add the mashed potato, the egg and season to taste. Stir until a homogeneous mass is obtained. Cover a removable mold, suitable for oven, with parchment paper. Add the mixture evenly inside the mold. Flatten the surface. Sprinkle with the grated cheese and place the mold in the oven, preheated to 200º C. Cook the cake for 20-25 minutes or until the surface is golden. Remove the mold from the oven and wait a few minutes before unmolding. Transfer to a platter and serve.",
155,155,en,Mixed nuts,"Nut mix (walnuts, hazelnuts, almonds),25,g;",,
156,156,en,Fresh cheese,".Fresh cheese portion,50,g;",,
157,157,en,Chia seeds,"Chia seeds,15,g;",,
158,158,en,Olive oil,"Olive oil,10,g;",,
159,1,sp,Naranja,"Naranja,200,g;",,
160,2,sp,Mandarina,"Mandarina,190,g;",,
161,3,sp,Uvas,"Uvas,70,g; ",,
162,4,sp,Plátano,"Plátano,160,g;",,
163,5,sp,Manzana,"Manzana,180,g;",,
164,6,sp,Pera,"Pera,150,g;",,
165,7,sp,Piña,"Piña,200,g;",,
166,8,sp,Kiwi,"Kiwi,150,g;",,
167,9,sp,Ciruela,"Ciruela,160,g;",,
168,10,sp,Fresas,"Fresas,150,g;",,
169,11,sp,Moras,"Moras,140,g;",,
170,12,sp,Cerezas,"Cerezas,150,g;",,
171,13,sp,Melocotón,"Melocotón,180,g;",,
172,14,sp,Albaricoque,"Albaricoque,150,g;",,
173,15,sp,Sandía,"Sandía,150,g;",,
174,16,sp,Pan integral,"Pan integral,60,g;",,
175,17,sp,Tostada tipo cracker de trigo integral,"Tostada tipo cracker de trigo integral,40,g;",,
176,18,sp,Biscote de pan integral o multicereales,"Biscote de pan integral o multicereales,40,g;",,
177,19,sp,Pan integral de molde,"Pan integral de molde,56,g;",,
178,20,sp,Tortilla de trigo tipo fajita,"Tortilla de trigo tipo fajita,70,g;",,
179,21,sp,Tortitas de arroz inflado integral,"Tortitas de arroz inflado integral,40,g; ",,
180,22,sp,Palitos de pan integrales,"Palitos de pan integrales,40,g;",,
181,23,sp,Yogur natural entero,"Yogur desnatado natural,125,g;",,
182,24,sp,Yogur desnatado con frutas,"Yogur desnatado con frutas,125,g;",,
183,25,sp,Yogur griego natural,"Yogur griego natural,125,g;",,
184,26,sp,Kefir,"Kefir,200,g;",,
185,27,sp,"Yogur para beber desnatado natural, sin azúcares","Yogur para beber desnatado natural,200,g;",,
186,28,sp,Leche semidesnatada,"Leche semidesnatada,200,g;","Pon la leche en una taza. Añade café, canela o cacao puro en polvo cómo más te guste! ",
187,29,sp,Leche desnatada fortificada en Calcio,"Leche desnatada fortificada en Calcio,200,g;",,
188,30,sp,Yogur natural con arándanos y copos de avena,"Yogur desnatado natural,125,g;
Arándanos,50,g;
Copos de avena,30,g;","Añade en un bol el yogur. 
A continuación añade los arándanos y los copos de avena.
Mezcla todos los ingredientes.",
189,31,sp,Tostada de pan integral con hummus y aguacate,"Pan integral,60,g;
Hummus,40,g;
Aguacate,25,g;",Tostar el pan. Huntar con una capa de hummus. Cubrir con unas láminas de aguacate. Listo para consumir.,
190,32,sp,Tostada integral con aceite de oliva y queso fresco,"Pan integral,60,g;
Loncha de queso fresco,55,g;
Aceite de oliva,5,ml;","Tostar el pan y una vez tostado añadir un chorro de aceite de oliva. A un lado, cortar dos lonchas de queso. Por una lado servir la tostada con el queso encima, y por el otro la pieza de fruta.",
191,33,sp,Porridge con fruta de temporada,"Leche de vaca (o vegetal),200,ml;
Copos de avena,50,g;
Fruta,50,g;","Calentar la leche o bevida vegetal en una olla pequeña a fuego lento. Una vez caliente añadir los copos de avana y mezclar hasta crear una masa más o menos homogénea. Lavar, pelar (opcional), y trozear la pieza de fruta. Con la mitad, bastará. Servir en un bol el porridge caliente, y las piezad de fruta por encima.",
192,34,sp,Manzana al horno,"Manzana,200,g;
Canela,5,g;","Precalentar el horno a 180 grados durante diez minutos. Cortar la cabeza de la manzana, descorazonarla, abrila por arriba, añadir un poco de canela y volver a taparla. Poner la manzana al horno en una bandeja durante aproximadamente 60 minutos a 180 grados. Una vez cocida sacar y srvir, o se puede dejar enfriar y comer fría o en compota.",
193,35,sp,Macedonia de frutas y semillas,"Manzana,60,g;
Plátano,60,g;
Mandarina,60,g;
Sèsamo,10,g;","Lavar, pelar (opcional), cortar y mezclar la fruta. Añadir las semillas de sésamo y mezclar. Servir en un bol.",
194,36,sp,"Sandwich de pavo, manzana y rúcula","Pan integral,60,g;
Pavo en lonchas,40,g;
Manzana,40,g;
Rúcula,10,g;
Aceite de oliva;10,ml;","Cortar el pan transversalmente, a una mitad de pan añadir un chorro de aceite de oliva, pavo y rúcula prèviamente lavada. Lavar y cortar en lonchas finas la manzana. Añadir la manzana dentro del bocata, y servirlo.",
195,37,sp,Bol de cereales integrales con leche (o bebida vegetal),"Leche (o bebida vegetal),200,ml;
Cereales integrales,60,g;","La leche o bebida vegetal puede ser calentada o no, en función de los gustos individuales. Añadir los cereales a la leche y comer. ",
196,38,sp,Tostadas pan integral con mantequilla de cacahuete y plátano ,"Pan integral,60,g;
Crema de cacahuete,10,g;
",,
197,39,sp,Fajita integral con aguacate y queso fresco ,"Fajitas integrales,80,g;
Aguacate,20,g;
Queso fresco,65,g;",,
198,40,sp,Pancakes integrales con fresas y chocolate negro,"Huevo,55,g;
Harina integral,60,g;
Leche entera,100,ml;
Fresas,150,g;
Chocolate negro,20,g;","En un vaso de batidora mezclar el huevo, leche y la harina. Batir hasta obtener una textura ligera. En una sartén antiadherente echamos un cazo de la masa preparada y cocinamos las tortitas. Servir con fresas naturales cortadas y chocolate negro. ",
199,41,sp,Kéfir con manzana y nueces,"Kéfir,125,g;
Manzana,100,g;
Nueces,20,g;",,
200,42,sp,"Tostadas de pan integral con aceite de oliva, tomate y atún al natural","Pan integral,60,g;
Atún enlatado al natural,30,g;
Tomate crudo,20,g;
Aceite de oliva,15,ml;",Cortar el pan por la mitad y tostarlo. Servir en un plato con aceite de oliva y el atún y el tomate en rodajas por encima. ,
201,43,sp,Tortilla francesa,"Huevo,110,g;
Sal,2,g; 
Aceite de oliva,15,g;","Cascar los huevos y batir con una barilla. Agregar la sal y seguir mezclando hasta obtener una mezcla homogenea. Calentar una sartén antiadherente y añadir la mezcla bajando el fuego a intensidad media sin dejar de remover la sartén. Una vez cuajada, enrollar la tortilla sobre sí misma.",
202,44,sp,Tortilla de patatas,"Patata cruda,75,g;
Cebolla cruda,14,g;
Huevo,55,g;
Sal,1,g;
Aceite de oliva,12,g;","Limipiar y pelar las patatas y la cebolla, cortar en láminas, y cocinar al vapor o microondas. Mezclar las patatas y la cebolla con los huevos y la sal. Calentar una sartén antiadherente y pintar la base con una gotas de aceite de oliva. Añadir la mezcla en la sartén reduciendo el fuego a intensidad media/baja. Después de 3-4 min. voltear la tortilla con ayuda de una plato o tapa y volver a poner en la sartén. Dejar cocinar 2 min. más. Finalmente, retirar del fuego y servir. ",
203,45,sp,Huevos revueltos con gambas y espárragos trigueros,"Huevo,55,g;
Gambitas peladas,35,g;
Espárragos trigueros,30,g;
Cebolla tierna,5,g;
Sal,1,g;
Aceite de oliva,10,g;",Hervir los espárragos durante 2 min.y escurrir. Batir los huevos con la sal. Calentar una sartén antiadherente y agregar el aceite. Dorar el ajo y saltear las gambas durante 2-3 min. a fuego medio. Añadir los huevos batidos y bajar el fuego. Mezclar continuamente hasta que el huevo quede cuajado.   ,
204,46,sp,Huevo semi-cocido,"Huevo,120,g;
Pan integral,60,g;
Aceite de oliva,15,ml;","Poner agua a hervir en un cazo. Sumergir los huevos, que no deben estar demasiado fríos o se romperán, en el agua hirviendo. Cocerlos de 3 a 4 minutos, según el grado de cocción. Mientras tanto, tostar el pan. Escurrir los huevos y colocar en una huevera antes de servir. Pelar y abrir la parte superior. Cortar el pan en tiras y añadir aceite de oliva. Listo para servir. Se puede sucar el pan dentro del huevo.",
